,,,,,Prämien – Grundversicherung,,,,,,,
,,,,,Primes – Assurance de base,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Erwachsene / Adultes,,,,Franchise / Franchise,,
652.8,646.1,612,582.8,553.6,524.5,Visana,610.1,603.9,572,544.7,517.4,490.2
562,550.8,522.7,494.6,466.5,438.4,Vita Surselva,558.7,547.5,519.5,491.6,463.7,435.7
636.9,625.2,596.1,566.9,537.7,508.6,Vivacare,595.3,584.4,557.1,529.8,502.6,475.3
627,615.4,586.2,557,527.9,498.7,Vivao Sympany,583.2,572.4,545.2,518.1,491,463.8
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,2/28,,Septembre 2023,,review-2023-09-24,,
,,,Prämien – Weitere Versicherungsmodelle,,,,,,,,,
,,,,Primes – Autres modèles d'assurance,,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Erwachsene / Adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 1,300,500,1000,1500,2000,2500
525.9,515.9,490.5,465.1,434.7,400,"Aquilana, SMARTMED",489.1,479.8,456.2,432.6,404.3,372
542.4,530.8,501.6,472.4,443.3,414.1,"Assura, Gesundheitnetz",504.5,493.7,466.5,439.4,412.3,385.2
533.9,522.3,493.1,463.9,434.8,405.6,"Atupri, SmartCare",507.2,496.2,468.4,440.7,413.1,385.3
545.6,534,504.8,475.6,446.5,417.3,"Atupri, TelFirst",518.3,507.3,479.6,451.8,424.2,396.4
531.8,520.3,491.3,461.8,432.8,403.8,"Avenir, PrimaFlex",494.6,483.9,457,429.5,402.6,375.6
570.3,558.8,529.8,500.3,471.3,442.3,"Avenir, SanaTel",530.4,519.7,492.8,465.3,438.4,411.4
530.1,518.5,489.3,460.1,431,401.8,"Concordia, smartDoc",501,490,462.4,434.8,407.3,379.8
569.7,558.1,528.9,499.7,470.6,441.4,"CSS, Callmed",529.8,519,491.9,464.7,437.7,410.5
557.9,546.4,517.4,487.9,458.9,429.9,"Easy Sana, PrimaFlex",518.9,508.2,481.2,453.8,426.8,399.9
577.4,565.9,536.9,507.4,478.4,449.4,"Easy Sana, SanaTel",537,526.3,499.4,471.9,445,418
589.1,577.5,548.3,519.1,490,460.8,"EGK, EGK-TelCare",553.8,542.9,515.5,488,460.6,433.2
536.3,524.7,495.5,466.3,437.2,408,"Helsana, BeneFit PLUS Telmed",498.8,488,460.9,433.7,406.6,379.5
580.5,568.9,539.7,510.5,481.4,452.2,"Helsana, Premed-24",539.9,529.1,502,474.8,447.8,420.6
573.4,561.8,532.6,503.4,,445.1,"KPT, KPTwin.easy",533.3,522.5,495.3,468.2,,413.9
604.4,592.8,563.6,534.4,,476.1,"KPT, KPTwin.win",562.1,551.3,524.1,497,,442.8
559.9,548.4,519.4,489.9,460.9,431.9,"Mutuel, PrimaFlex",520.8,510.1,483.1,455.7,428.7,401.7
548.6,537.1,508.1,478.6,449.6,420.6,"Mutuel, SanaTel",510.2,499.6,472.6,445.1,418.2,391.2
547.8,536.2,507,477.8,448.7,419.5,"ÖKK, Select",509.5,498.7,471.6,444.4,417.3,390.2
579.1,567.5,538.3,509.1,480,450.8,"ÖKK, Telemedizin",538.6,527.8,500.7,473.5,446.4,419.3
568.6,557.1,528.1,498.6,469.6,440.6,"Philos, PrimaFlex",528.8,518.2,491.2,463.7,436.8,409.8
575.3,563.8,534.8,505.3,476.3,447.3,"Philos, SanaTel",535.1,524.4,497.4,470,443,416
526,514.3,485.1,456,426.8,397.6,"Sana24, Combi Care",491.6,480.7,453.4,426.2,398.9,371.6
612.5,600.9,571.7,542.5,513.4,484.2,"Sana24, Med Call",572.5,561.6,534.3,507.1,479.8,452.5
581.6,569.9,540.8,511.6,482.4,453.3,"Sana24, Tel Doc",543.6,532.7,505.4,478.2,450.9,423.6
597.7,586.1,556.9,527.7,498.6,469.4,"Sanitas, CallMed",556.5,545.7,518.5,491.3,464.2,437.1
520.6,509,479.8,450.6,421.5,392.3,"Sanitas, CompactOne",484.7,473.9,446.7,419.6,392.5,365.3
572.9,561.4,532.4,502.9,473.9,444.9,"Supra, PrimaFlex",532.8,522.2,495.2,467.7,440.8,413.8
630.2,618.6,596.3,567.1,538,508.8,"Swica, FAVORIT TELMED",586.1,575.3,554.6,527.5,500.3,473.2
612.2,605.6,571.4,542.2,513.1,483.9,"Visana, Combi Care",572.2,566,534,506.8,479.5,452.3
673.4,666.7,632.6,603.4,574.2,545.1,"Visana, Med Call",629.4,623.1,591.2,564,536.7,509.4
564.6,558,523.8,494.6,465.5,436.3,"Visana, Tel Care",527.7,521.5,489.6,462.3,435,407.8
598.6,592,557.8,528.6,499.5,470.3,"Visana, Tel Doc",559.5,553.3,521.3,494.1,466.8,439.6
551.3,539.6,510.4,481.3,452.1,422.9,"Vivacare, Combi Care",515.2,504.3,477.1,449.8,422.6,395.3
665.5,653.8,624.6,595.5,566.3,537.1,"Vivacare, Med Call",622,611.1,583.8,556.6,529.3,502
611.7,600.1,570.9,541.7,512.6,483.4,"Vivacare, Tel Care",571.7,560.8,533.6,506.3,479.1,451.8
618.5,606.8,577.6,548.5,519.3,490.1,"Vivacare, Tel Doc",578,567.1,539.9,512.6,485.3,458.1
520.6,508.9,479.7,450.6,421.4,392.2,"Vivao Sympany, FlexHelp 24",484.2,473.3,446.2,419.1,392,364.8
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,3/28,,Septembre 2023,,review-2023-09-24,,
,,,Prämien – Weitere Versicherungsmodelle,,,,,,,,,
,,,,Primes – Autres modèles d'assurance,,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Erwachsene / Adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 2,300,500,1000,1500,2000,2500
500.7,490.6,465.3,439.9,409.8,375.7,"Aquilana, SMARTMED",465.7,456.3,432.8,409.2,381.2,349.5
496.4,484.8,455.6,426.4,397.3,368.1,"Assura, Gesundheitnetz",461.7,450.9,423.8,396.6,369.5,342.4
494.1,482.5,453.3,424.1,395,365.8,"Atupri, SmartCare",469.4,458.4,430.6,402.9,375.3,347.5
494.1,482.5,453.3,424.1,395,365.8,"Atupri, TelFirst",469.4,458.4,430.6,402.9,375.3,347.5
515.5,504,475,445.5,416.5,387.5,"Avenir, PrimaFlex",479.5,468.8,441.8,414.4,387.4,360.4
530.4,518.9,489.9,460.4,431.4,402.4,"Avenir, SanaTel",493.3,482.6,455.7,428.2,401.3,374.3
503.2,491.6,462.4,433.2,404.1,374.9,"Concordia, smartDoc",475.6,464.6,437,409.4,381.9,354.3
537.3,525.7,496.5,467.3,438.2,409,"CSS, Callmed",499.7,488.9,461.7,434.6,407.5,380.4
518.9,507.4,478.4,448.9,419.9,390.9,"Easy Sana, PrimaFlex",482.6,471.9,445,417.5,390.6,363.6
537,525.5,496.5,467,438,409,"Easy Sana, SanaTel",499.5,488.8,461.8,434.4,407.4,380.4
498.1,486.5,457.3,428.1,399,369.8,"EGK, EGK-TelCare",468.3,457.4,429.9,402.5,375.1,347.7
511.7,500.1,470.9,441.7,412.6,383.4,"Helsana, BeneFit PLUS Telmed",475.9,465.1,438,410.8,383.8,356.6
553.8,542.2,513,483.8,454.7,425.5,"Helsana, Premed-24",515.1,504.3,477.1,450,422.9,395.8
515.6,504,474.8,445.6,,387.3,"KPT, KPTwin.easy",479.5,468.7,441.6,414.4,,360.2
542.6,531,501.8,472.6,,414.3,"KPT, KPTwin.win",504.6,493.8,466.7,439.5,,385.3
526.3,514.8,485.8,456.3,427.3,398.3,"Mutuel, PrimaFlex",489.5,478.8,451.8,424.4,397.4,370.5
515.7,504.2,475.2,445.7,416.7,387.7,"Mutuel, SanaTel",479.7,469,442,414.6,387.6,360.6
521.5,509.9,480.7,451.5,422.4,393.2,"ÖKK, Select",485,474.3,447.1,419.9,392.9,365.7
551.3,539.7,510.5,481.3,452.2,423,"ÖKK, Telemedizin",512.8,502,474.8,447.7,420.6,393.4
500.3,488.8,459.8,430.3,401.3,372.3,"Philos, PrimaFlex",465.3,454.6,427.7,400.2,373.3,346.3
506.3,494.8,465.8,436.3,407.3,378.3,"Philos, SanaTel",470.9,460.2,433.2,405.8,378.8,351.9
495.2,483.5,454.3,425.2,396,366.8,"Sana24, Combi Care",462.8,451.9,424.6,397.4,370.1,342.9
